GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
LOC100507431	6.9228	7.6646	7.5446	8.7071	8.0579	7.9637	7.155	8.7073	8.8165	8.4783
LOC100507443	6.7442	5.9357	6.2453	8.0681	5.4615	5.2883	5.7609	5.6822	4.621	6.3428
LOC100507459	7.452	6.1065	6.9521	6.2137	7.123	7.0884	4.7895	6.3745	6.5542	5.6555
LOC100507461	5.2907	5.4501	5.8796	7.7627	4.3854	5.5286	5.0628	4.3292	3.8644	2.6254
LOC100507462	5.0829	5.0799	7.0847	5.4447	4.4002	3.9826	5.4976	4.3514	4.9253	6.0716
LOC100507468	5.2647	5.6396	4.7681	7.4518	5.8527	5.3408	6.2122	4.8695	3.3935	4.2686
LOC100507472 /// PCSK6	5.6956	4.6949	5.5662	7.2865	3.78	4.8344	4.5901	4.3155	4.3745	7.3105
LOC100507477	6.9549	6.2403	7.0313	7.8075	5.8333	5.9065	7.5825	5.4221	5.1234	6.7416
LOC100507480	5.0359	2.8145	5.3384	6.7117	3.4682	4.2801	2.6407	3.4699	2.1175	2.6254
LOC100507487 /// LOC101927184	5.423	8.0368	4.1973	8.0242	5.4904	4.5462	7.1058	6.5898	5.233	6.0047
LOC100507494	7.2882	6.8707	6.9205	8.0349	6.8477	7.682	7.9262	5.4618	6.4085	6.5564
LOC100507501	7.4363	6.9077	6.3887	9.1798	6.9663	7.5578	7.6696	7.6424	7.2927	6.7414
LOC100507506	6.6949	5.7403	6.3849	6.1168	5.407	6.1061	5.7935	5.4969	5.6287	6.3669
LOC100507507	6.5688	9.125	7.5365	11.2047	8.9965	8.6247	10.4634	9.6097	7.9336	10.1277
LOC100507513	5.9374	6.1005	5.8725	8.3885	7.1006	4.9999	6.9089	3.8212	6.0719	6.0654
LOC100507516	3.7899	4.7582	7.4238	7.426	4.1391	5.6013	3.4	5.4404	8.8059	5.5341
LOC100507520	9.2251	7.7372	7.4915	9.2326	6.5212	8.0773	8.6651	8.6169	8.8565	8.3263
LOC100507530	6.7872	5.1958	8.049	7.3332	6.654	6.2321	6.5803	5.6155	5.5676	5.5392
LOC100507534	4.9596	4.0893	6.5162	6.8962	4.1375	3.9604	3.4573	5.6112	2.2139	5.6344
LOC100507535	8.992	9.2333	8.6382	9.3239	10.8648	10.6415	9.5893	10.8185	9.016	9.9359
LOC100507537	7.4624	6.2565	6.6234	8.6496	5.1505	7.3994	6.3818	6.113	6.4165	7.5445
LOC100507540	7.1112	6.7245	5.6832	9.2029	6.796	7.5052	4.6131	7.318	4.9854	7.1669
LOC100507547 /// PRRT1	7.1057	6.1383	6.0814	8.0735	7.2049	6.6099	7.6908	7.5043	6.8599	6.5164
LOC100507557	5.3079	6.0097	5.4029	5.3911	3.9081	5.6902	5.7465	5.4681	6.2722	4.4625
LOC100507560	6.8113	6.4339	6.7849	7.2118	5.896	5.1408	5.0747	4.6567	5.3095	6.9313
LOC100507562	6.7813	5.5443	6.4056	7.6932	6.0396	6.7245	6.4596	4.1263	5.1746	5.2215
LOC100507564	6.3481	5.8953	7.2207	5.7868	5.8207	6.3104	6.3008	6.4119	5.4529	6.8715
LOC100507577 /// LONP2	10.1158	9.1644	9.1412	9.0856	9.9529	10.0192	9.3977	11.1002	10.6651	10.7144
LOC100507577 /// LONP2 /// SIAH1	8.8758	8.826	7.2487	8.3212	7.7563	8.693	8.9505	10.8192	10.0638	10.4292
LOC100507600	5.4191	4.5773	7.1335	6.1168	6.5501	5.2404	5.406	5.99	5.7176	6.168
LOC100507616	4.8647	5.2974	5.3135	7.3038	5.269	5.9368	3.5376	3.5068	5.4498	3.3327
LOC100507630	4.759	5.9245	7.184	5.8279	3.9739	4.9119	4.4971	6.444	4.4175	3.596
LOC100507634	7.2413	6.639	7.7136	8.5329	6.9673	6.8273	7.9077	7.496	7.5873	7.3361
LOC100507642	5.1711	5.3405	4.6811	5.4625	4.1391	6.9497	5.8526	7.3613	6.086	8.0643
LOC100507654	6.4483	5.785	7.1502	7.0299	6.2616	5.4155	6.7576	5.1699	4.7331	6.0885
LOC100507656	4.1698	3.4012	6.1015	5.0697	5.544	5.2977	5.3248	3.2561	4.4397	6.0288
LOC100507670	8.4783	6.3759	6.7082	8.9413	7.3352	6.468	7.608	5.9593	4.5449	8.215
LOC100508046 /// LOC101929572 /// POTEH-AS1	6.5301	5.7848	7.412	7.0751	5.6629	5.9172	6.5499	6.7608	6.0535	5.268
LOC100508408 /// RPS13 /// SNORD14B	15.219	15.6598	16.1328	16.353	15.3817	15.2917	15.1674	15.4715	15.1694	15.2556
LOC100508631	5.5363	4.6207	7.5697	7.0387	5.9181	6.7524	5.6535	4.2422	4.9914	6.9227
LOC100509303	7.3744	5.5413	7.4773	6.6943	6.3497	6.4992	6.8256	4.0588	5.0372	3.892
LOC100509445 /// LOC728715 /// OVOS /// OVOS2	12.1432	10.6488	13.1119	11.3092	11.4899	11.2684	10.1116	8.4421	9.9026	10.5788
LOC100509646 /// PRY /// PRY2	5.7288	5.8209	6.0332	7.8913	6.5581	5.4096	5.6629	5.3021	5.7589	7.0946
LOC100509814	3.7899	3.724	5.2832	6.7247	3.3038	3.8868	2.7001	3.5582	3.6394	3.4963
LOC100630918	7.9539	4.3482	6.3835	7.311	7.2229	5.0143	5.4235	8.0828	4.7634	5.0328
LOC100630923	6.1474	5.9296	7.9696	6.739	6.1424	6.9858	7.1416	6.3539	6.584	7.7275
LOC100631377 /// LOC101928673	6.8377	6.4575	7.2846	8.5534	6.0336	5.3047	4.2731	6.4266	6.1598	6.6619
LOC100631378	5.6565	5.0599	6.8531	6.7457	5.1339	4.6747	5.8314	3.9427	4.525	5.9562
LOC100652768	5.6323	7.4003	8.0291	6.8541	5.6486	5.9638	6.9989	7.5382	8.3348	7.6224
LOC100652770	7.6652	7.7651	7.021	8.9613	6.8446	6.6917	7.3737	6.2213	6.6892	6.4285
LOC100652777 /// PLA2G10	7.3081	4.5985	6.8454	7.7255	5.1664	5.4969	6.3953	6.3849	5.4199	7.4951
LOC100652824	6.9213	6.3671	7.93	7.0403	5.7353	5.327	6.3011	6.2523	4.9376	7.5148
LOC100652911	4.6129	3.3332	3.1181	7.5345	4.1581	3.9213	4.9108	2.5481	3.7043	5.1009
LOC100652930 /// NPEPL1 /// STX16-NPEPL1	8.4448	9.4041	5.5869	8.8085	8.9211	7.3958	9.4253	8.1649	7.1062	6.46
LOC100652931 /// RBMY2FP	6.2713	5.1488	6.7638	7.5745	5.6601	5.6812	5.8327	4.6839	5.4164	7.9394
LOC100652999	5.3804	5.0511	6.4566	4.6782	4.8597	5.7154	4.2401	3.9993	5.3689	5.2387
LOC100653005	4.7786	4.8294	4.0502	6.2971	4.438	3.8686	3.5223	3.7003	4.9304	4.8094
LOC100653086	4.4808	4.086	4.0168	7.981	3.349	5.5231	4.812	4.1556	3.0671	4.4606
LOC100862671 /// SRCAP	7.131	7.8354	9.0612	8.4415	7.0622	7.2874	7.0205	7.8312	7.6866	7.9428
LOC100996246	6.4642	4.5216	6.4174	8.6923	4.6891	5.5327	5.5594	6.8708	6.9193	5.7079
LOC100996251	5.4458	5.0654	6.3041	7.635	6.1156	6.7721	6.9107	6.6594	4.7345	7.4348
LOC100996255	9.0313	9.15	8.4347	9.8085	8.0142	8.8402	10.2024	10.458	10.7259	9.6254
LOC100996263	5.7765	3.0308	6.7209	7.1279	4.0806	5.7985	4.7893	4.1879	2.4535	5.9102
LOC100996286	5.866	5.6504	9.2638	8.8876	6.487	7.7414	6.3908	6.7394	6.2497	7.6293
LOC100996325	4.0492	3.2557	6.6188	7.8688	2.9544	3.8686	2.0351	4.9511	1.9356	4.4545
LOC100996342	7.2229	6.9757	5.8735	7.5293	5.8664	6.788	6.424	6.472	7.3377	8.2965
LOC100996345	5.9977	3.0308	5.5066	4.8103	4.9295	6.1038	6.2635	5.9568	6.0696	7.0081
LOC100996385	6.3785	5.9997	7.0081	7.7437	5.9013	6.6203	6.2741	5.4492	5.0065	5.3099
LOC100996404	5.2208	5.7917	6.1422	7.9264	4.642	5.7397	5.9927	6.6037	4.1458	5.4048
LOC100996412	7.0681	9.114	7.5162	8.9252	7.1683	7.532	8.3259	10.5526	11.0664	10.9042
LOC100996425	4.9144	7.5035	8.5216	6.2418	4.6318	5.8918	6.1869	6.339	6.4403	7.1953
LOC100996455	4.971	3.7399	6.0109	7.3748	4.2493	6.4073	3.3517	3.5938	5.6385	5.9287
LOC100996457	7.348	7.1335	6.8459	7.222	6.4733	6.5076	5.9912	5.9229	6.5025	5.8555
LOC100996506	5.955	5.9553	5.7223	5.9328	5.816	6.4274	7.5064	6.416	6.891	5.3643
LOC100996506 /// RETSAT	8.2533	5.353	7.0154	8.7726	7.861	7.6894	6.7014	7.0537	6.3504	7.307
LOC100996517 /// LOC102724364 /// SEC22B	10.9118	9.1684	9.9902	9.1729	9.5739	10.2587	8.9425	10.0278	10.4183	9.8691
LOC100996542	6.3609	4.9412	5.4737	6.2435	5.1119	5.5315	6.4443	4.4663	5.2744	6.9764
LOC100996549	4.592	5.1943	7.8207	8.2981	5.2357	5.0988	5.1202	3.2594	2.9506	5.0432
LOC100996579	8.5509	8.0763	7.8073	7.1915	8.1253	8.6778	7.297	5.1122	5.029	7.2536
LOC100996583	8.2005	6.9381	7.478	8.8843	6.776	7.9298	5.7186	5.8949	6.2624	8.0924
LOC100996590	5.802	5.4604	7.2567	8.3022	6.4143	5.8337	5.2672	5.5669	4.8578	7.2447
LOC100996624	4.9011	5.5905	4.6847	7.4468	5.1277	5.2881	5.9192	2.9118	5.1706	6.6484
LOC100996634	5.2244	4.6588	7.0452	7.4213	3.5039	3.9213	5.103	4.2703	5.1466	3.5627
LOC100996643 /// LOC101928195 /// MTHFD1L	10.2856	10.5549	11.3529	9.747	11.137	10.9012	8.4992	7.9191	8.2916	8.9433
LOC100996654	6.1644	5.979	5.8828	7.4225	5.2278	5.5538	6.2795	4.389	4.4546	6.7349
LOC100996668 /// ZEB1	6.3547	8.9298	10.0085	9.2538	9.8033	9.2106	10.865	6.1778	5.7387	7.4489
LOC100996671	4.1172	4.111	7.1733	8.3466	4.3597	5.1191	4.3735	4.1529	2.5917	7.2701
LOC100996681	6.091	6.08	5.8593	6.1216	4.512	4.3287	4.9384	6.0082	3.1426	4.8542
LOC100996693 /// SPEG	6.6077	5.5198	7.8009	8.0453	6.5095	6.3808	7.165	6.5783	5.3453	6.2866
LOC100996694	5.4877	4.8042	5.4085	8.2039	5.9095	5.7677	4.7351	3.977	3.6877	6.0581
LOC100996696 /// PABPC4	12.1532	13.6471	12.8711	12.6337	12.5862	13.3083	12.2508	12.3415	12.4778	12.0197
LOC100996717 /// LOC100996763 /// LOC101929796 /// NOTCH2 /// NOTCH2NL	10.5137	9.8752	7.9933	10.926	9.6233	10.2923	10.7804	10.7574	8.1215	9.6931
LOC100996724	4.4587	5.6374	7.0828	6.5369	5.8315	5.4405	4.8579	6.594	4.8578	4.3785
LOC100996724 /// LOC100996761 /// LOC101929792 /// LOC101930416 /// LOC653513 /// PDE4DIP	3.7899	6.1571	4.4199	5.6843	3.4738	3.5414	6.2135	6.1357	6.051	7.6351
LOC100996724 /// LOC100996761 /// LOC101929792 /// LOC101930416 /// PDE4DIP	9.0286	6.874	11.2488	8.9108	7.7294	9.3849	7.8233	9.1074	9.4597	10.8373
LOC100996732 /// LOC100996735 /// LOC645166 /// LOC654342	8.6701	9.1778	8.4919	8.4295	8.6216	8.4067	6.3024	8.7619	9.4059	8.8944
LOC100996740	11.6149	13.116	11.6523	13.1716	11.5016	11.605	12.8038	12.6405	11.4418	12.4344
LOC100996747 /// LOC101929876 /// RPS26 /// RPS26P11	14.8001	14.8321	15.2663	14.3205	15.3221	15.1387	15.1612	15.3784	14.9656	15.1396
LOC100996756	5.6687	9.6836	8.8675	10.784	8.487	8.4454	11.2593	10.5167	9.6362	10.6995
LOC100996758 /// NPY4R	4.1172	4.4254	5.2676	8.6258	3.5833	4.7044	6.3884	4.949	3.5399	6.6615
LOC100996760	5.5386	5.0601	7.0129	7.1692	5.3484	4.5023	6.1709	4.466	5.5338	5.6207
LOC100996782 /// MED18	7.3302	6.1811	7.764	8.3362	6.9878	6.9376	7.1178	5.9361	5.1506	5.1112
LOC100996792 /// MAP2K3	11.5313	12.8305	10.4374	13.1922	11.5589	11.7307	12.474	11.056	10.5121	11.3943
LOC100996843	4.7462	3.319	4.9329	5.2989	5.658	3.5414	3.9794	3.1867	3.0589	5.0565
LOC100996902	4.2311	3.2663	5.0914	5.58	3.1181	3.5414	2.64	2.6575	2.4113	5.3696
LOC101059948	5.1549	5.5178	4.3473	5.8316	5.4653	4.5502	6.1525	2.9624	3.9679	6.8129
LOC101060004	5.5361	5.3156	5.3739	7.1225	6.2186	5.8803	5.3265	2.9165	2.4191	4.312
LOC101060019	6.0988	4.5965	7.2802	8.3118	3.3429	4.3435	5.2348	4.6843	3.5957	6.0308
LOC101060091	6.1575	4.2408	8.1601	8.3695	6.1784	7.8474	5.9656	3.402	6.115	6.167
LOC101060179 /// PRDM11	5.1059	6.2595	6.9059	8.3003	6.7962	7.9173	4.7042	7.6792	5.1103	5.3048
LOC101060181 /// LOC101928574 /// ZNF44	5.105	4.3518	4.2805	7.9764	4.0461	4.7759	3.8421	6.8797	4.9306	6.1533
LOC101060181 /// ZNF44	10.08	10.3234	9.2344	9.3673	9.3863	9.4714	10.9214	9.8315	9.8298	9.8396
LOC101060233 /// OPN1LW /// OPN1MW /// OPN1MW2	6.1172	4.9115	6.9241	5.1321	3.9665	5.1408	3.9592	4.8016	2.9418	5.0917
LOC101060264	5.4109	6.1251	7.4533	7.3305	6.0074	7.4507	4.867	2.1485	3.9894	5.5281
LOC101060275 /// LOC101929910 /// LOC613037 /// NPIPA5 /// NPIPB11 /// NPIPB3 /// NPIPB4 /// NPIPB5	13.3358	13.9827	13.7356	14.2122	12.6465	12.8238	13.1186	14.6582	13.8713	13.989
LOC101060321 /// LOC101060351 /// LOC101060376 /// LOC101060389 /// LOC102723859 /// LOC102724862 /// TBC1D3 /// TBC1D3C /// TBC1D3F /// TBC1D3H	10.106	10.2162	8.8394	10.7708	9.7688	8.8336	9.6661	10.5435	10.8819	8.9707
LOC101060363 /// PPIA	15.5416	15.6149	16.2234	15.6749	15.7232	15.4173	14.8261	15.4346	15.0536	15.1744
LOC101060373 /// NOMO1 /// NOMO2 /// NOMO3	11.7575	11.3985	11.3698	12.3575	12.5951	12.014	11.2288	11.5189	11.8513	11.5369
LOC101060391	6.5403	4.2819	5.1813	7.6122	3.4999	4.8277	4.4602	4.361	4.7868	6.9174
LOC101060400	5.6287	6.55	7.1529	7.4663	4.7853	4.8659	4.5126	4.1388	4.727	6.2336
LOC101060405 /// RRN3P3	9.6035	10.0118	7.9655	8.8757	9.4033	8.4146	9.6322	10.3113	9.652	10.0553
LOC101060424	4.5583	4.3973	5.8612	4.6103	4.6473	4.5205	4.7128	6.3599	5.8735	4.4105
LOC101060424 /// LOC653786 /// OTOA	5.4345	6.3258	8.2117	7.8486	6.3269	4.8841	5.6387	6.8094	5.1523	5.5674
LOC101060429 /// LOC101930013 /// LOC101930075 /// LOC399491 /// NPIPA1 /// NPIPA2 /// NPIPA3 /// NPIPA5 /// NPIPA7 /// NPIPA8 /// PKD1 /// PKD1P1	6.4379	5.6918	4.9378	5.5982	3.1975	5.1738	4.3131	4.874	4.1236	6.4743
LOC101060464 /// LOC101929858 /// LOC101930165 /// LOC101930171 /// TCEB3C /// TCEB3CL /// TCEB3CL2	4.3086	6.1518	7.1189	6.3301	6.1356	4.4344	5.7194	6.3001	3.6671	7.2682
LOC101060510	7.3819	8.928	8.2559	9.0702	6.8199	7.6323	8.6528	8.0364	7.519	8.5997
LOC101060521 /// POLR3E	11.6339	10.6352	11.007	9.9709	11.8283	11.705	10.3164	9.8391	10.6072	10.2089
LOC101060553	4.5374	5.4118	7.2308	6.4902	5.6701	5.9776	5.4095	5.2123	2.512	4.8129
LOC101060604 /// LOC101929910 /// LOC102725125 /// LOC613037 /// NPIPA5 /// NPIPB3 /// NPIPB4 /// NPIPB5 /// SLC7A5P1 /// SMG1P1 /// SMG1P3	9.7196	10.7803	10.5481	9.506	9.8035	9.9615	10.4623	10.9721	10.0327	10.2566
LOC101060604 /// SLC7A5P1 /// SLC7A5P2	7.1216	5.1133	6.8228	8.4325	6.4286	6.0316	5.3447	5.5529	5.3427	5.2006
LOC101060604 /// SLC7A5P1 /// SLC7A5P2 /// SMG1P3	10.1231	10.4435	10.533	9.6473	10.1673	9.7911	10.4784	11.0741	9.7173	10.5738
LOC101060604 /// SLC7A5P1 /// SMG1P1 /// SMG1P3	6.5755	7.0735	8.086	7.7746	6.4033	6.0558	7.851	7.8612	6.8679	8.2092
LOC101060604 /// SLC7A5P1 /// SMG1P3	6.0631	6.2561	6.3738	7.3059	4.169	5.6489	6.0138	5.0525	5.5441	6.9976
LOC101060609	7.2319	7.2312	5.9628	7.728	6.1308	6.2184	7.4927	6.8115	7.1577	8.0473
LOC101060691	7.3679	8.5439	8.3737	8.6409	7.8396	8.5185	8.835	8.0104	8.2561	8.4336
LOC101060691 /// NUTM2A-AS1	7.4372	9.4043	8.781	9.5199	9.0847	8.9698	8.4419	9.2495	7.7296	8.4596
LOC101060747 /// PDPK1	10.7551	10.0594	10.2926	9.5216	10.2512	10.5982	11.2397	11.2469	11.6107	11.1373
LOC101243545 /// SNORD4A	9.7395	10.6001	11.4643	10.6341	8.4617	9.5237	10.686	10.6397	10.1966	9.8228
LOC101559451	5.0869	5.2471	7.4857	7.9799	7.1287	7.0964	4.8472	4.6828	4.2562	2.6254
LOC101593348	7.0472	3.9655	8.2946	7.8444	4.7417	5.4514	4.9536	6.0096	3.8232	6.0283
LOC101805491 /// TMEM247	5.5182	3.9278	6.5475	8.0506	5.7041	4.798	4.768	5.0716	3.8319	6.0731
LOC101926892	5.7662	6.0609	7.6724	6.0252	6.096	5.4028	3.9401	5.2296	4.7118	3.9001
LOC101926906	4.8444	4.6273	3.9392	7.414	3.7557	4.5071	4.2569	2.2054	1.9538	3.9272
LOC101926907	5.8066	3.4382	5.7983	5.7161	5.6316	5.1226	5.7526	3.368	1.9883	4.6257
LOC101926912	6.9169	7.4939	8.8206	7.3858	7.0602	6.9986	7.5068	5.3868	6.3922	6.6263
LOC101926913	5.7936	5.648	6.5201	7.6065	5.6721	6.4359	5.3842	4.9621	4.6582	4.7953
LOC101926915	6.8788	5.4189	6.2725	9.1586	5.5254	6.515	6.666	6.4094	6.5683	6.3311
LOC101926916	7.4191	5.7138	8.729	7.2262	6.4993	7.4073	5.6915	7.0852	6.4593	7.9577
LOC101926918	7.2682	7.3676	8.1046	7.3235	5.9396	4.963	10.0236	7.068	7.4216	6.9441
LOC101926928	3.9535	3.5613	5.2508	6.569	4.4095	5.3759	5.122	2.8005	3.9734	3.9185
LOC101926934	5.2609	6.0309	5.036	7.9227	6.1905	5.3488	4.7237	5.7269	4.6881	5.632
LOC101926942	4.1353	4.6693	6.0636	7.3516	4.9531	5.3053	4.4342	5.4973	3.6693	6.1163
LOC101926943	5.6283	6.0038	5.4867	8.1184	4.4647	5.4753	5.3626	5.3359	5.7843	7.2556
LOC101926944	4.9777	5.4323	4.0111	5.551	3.6036	3.9826	5.1019	4.2566	5.0182	5.6625
LOC101926951 /// PCDH20	5.2486	5.17	5.6959	8.0063	5.0768	5.1633	5.6506	5.3727	4.7027	6.2731
LOC101926959	4.1698	3.6118	6.2493	8.036	4.1066	6.0317	4.2561	3.8736	3.5288	3.3206
LOC101926960	4.9556	3.5008	5.7969	5.7618	4.9364	5.2471	4.4973	4.943	4.2521	5.501
LOC101926962	5.796	3.5803	7.5987	7.1274	4.4169	4.9214	4.9677	2.7879	3.7988	4.2461
LOC101926963	6.4902	6.488	5.8683	9.2093	4.8284	6.377	6.7585	6.7026	7.2575	7.3813
LOC101926967	9.2496	9.7704	8.2552	9.7911	8.9924	7.9291	9.6649	9.066	7.5655	7.6431
LOC101926975	3.9535	5.7557	5.7072	8.1921	3.3221	4.3865	5.957	2.2054	4.0521	6.605
LOC101926987	6.609	7.1588	6.5828	8.029	7.6257	6.213	7.1677	5.9243	6.0925	6.8564
LOC101926996	6.1359	5.1331	6.3507	7.2666	4.9825	4.0323	5.8387	5.5356	3.978	2.6254
LOC101927003	5.5165	3.8665	3.2817	6.4596	4.3604	5.2531	4.5168	4.0003	3.8581	5.2623
LOC101927018	5.7003	6.3076	3.8684	6.67	5.5295	5.9543	5.5927	4.7421	5.0841	4.9723
LOC101927020	7.2028	7.8361	5.3227	7.8332	5.5618	7.5045	6.8632	7.4141	7.1634	8.0521
LOC101927021	6.0163	5.4247	6.6743	8.8718	6.1415	5.7488	5.16	6.6139	4.9606	6.1077
LOC101927027	8.8454	7.7409	6.687	7.4063	9.6198	7.0663	6.765	10.7095	9.8136	10.5666
LOC101927038	5.2754	4.9005	7.0915	5.3298	4.5537	4.6363	4.3782	3.1292	3.8174	5.4419
LOC101927040	6.0465	5.5855	5.8624	7.7275	5.0318	5.5282	5.6661	5.1589	4.3275	4.532
LOC101927043	5.525	5.6901	6.4223	7.0705	5.7206	5.5764	3.5436	4.6779	4.7363	5.402
LOC101927044	5.5363	5.2873	6.2603	5.4447	5.3454	5.5294	6.0126	4.4605	4.1814	4.9968
LOC101927049	5.1751	6.2746	7.9944	8.7263	5.865	6.7863	7.3284	6.2139	5.6752	7.5259
LOC101927051	5.9978	5.6004	7.0281	7.9214	5.5524	6.1865	5.4313	5.7675	4.7866	7.3346
LOC101927057 /// OMG	6.2941	6.2911	7.6089	8.9862	6.4962	5.2277	8.4461	7.366	6.958	7.0846
LOC101927058	6.2596	5.2745	6.5644	8.7005	4.4515	4.2095	5.7378	3.9243	3.6694	6.8099
LOC101927059	5.5893	3.6557	5.6616	7.0122	6.4889	4.7245	3.4199	3.596	4.524	5.3347
LOC101927060	5.9758	5.9039	8.3134	8.1993	6.4843	6.0157	6.1105	5.6051	6.1742	6.5556
LOC101927066	5.0916	4.0024	6.5681	7.0109	5.2372	4.3386	4.7233	2.2054	3.2615	5.6308
LOC101927067	4.8216	5.6179	3.9411	6.0421	6.6409	6.1925	5.9866	6.8159	5.3463	7.0626
LOC101927069	5.1193	3.5446	7.0463	7.0534	3.7354	5.098	4.8448	6.7272	5.0859	6.2427
LOC101927071	5.8862	4.708	7.7189	6.4919	6.8354	6.423	4.9446	4.8193	4.5299	7.2276
LOC101927079 /// LOC102723532 /// LOC727924 /// OR4N4	5.2208	3.8691	5.0563	5.9564	3.1975	4.2525	3.4568	4.3703	4.0674	5.5027
LOC101927079 /// LOC727924	6.2953	6.1551	7.2179	8.1617	5.9695	5.7349	5.8748	6.4804	4.4305	7.4539
LOC101927079 /// LOC727924 /// OR4N4	4.6398	4.8353	7.3576	6.6429	4.4661	5.6129	5.0195	5.2483	3.0574	6.7489
LOC101927081	6.7628	3.8166	4.7513	7.1042	4.3194	4.3913	5.2251	4.5125	3.4859	5.0788
LOC101927085	6.7461	6.4127	6.7592	7.7888	5.8511	6.0929	3.9827	5.6415	4.3216	6.812
LOC101927086	5.1827	5.5038	6.8721	6.7448	5.7825	6.813	5.9579	5.7119	4.9871	6.7192
LOC101927089	5.2297	3.9964	5.3635	8.505	3.879	4.3913	6.4913	2.9751	4.9413	6.3102
LOC101927093	4.2311	5.4219	7.9661	7.4873	7.4537	5.1589	5.8612	5.8151	3.0813	5.9773
LOC101927095	4.6829	3.7621	3.2817	7.6398	3.6838	4.2323	3.3369	3.6114	4.9262	3.3939
LOC101927098	7.0649	5.1578	6.2173	7.4822	6.1891	5.9052	6.4218	5.7352	4.7698	3.6436
LOC101927112	6.3618	5.9108	5.994	8.1877	5.8503	5.9671	5.0897	3.9023	5.9974	4.0464
LOC101927121	6.4182	3.9182	5.9987	7.6002	3.7446	5.6683	5.9176	4.1798	5.2991	5.7608
LOC101927122	7.6296	8.3051	7.7726	8.3306	7.6754	6.9066	8.3215	8.3422	7.7519	8.51
LOC101927123	5.9404	4.238	5.0387	5.6804	5.873	5.5669	3.5916	4.8896	3.8234	3.866
LOC101927124	5.9478	3.1072	5.8955	7.2134	4.4564	4.6169	4.4999	5.3389	3.9525	5.5948
LOC101927126	5.324	4.9699	6.9408	5.3194	5.8425	4.9771	4.8236	5.2836	4.8053	5.0868
LOC101927129	4.7193	2.9102	5.2673	7.3588	3.1975	4.1031	2.6582	2.169	4.0878	7.1925
LOC101927131	5.501	6.3051	6.4294	6.3885	5.7361	5.9682	4.8731	6.7478	4.6475	4.2127
LOC101927133	5.7281	5.7353	6.5623	6.1033	5.7019	5.5637	7.6152	5.7579	4.5488	6.601
LOC101927137 /// SCLT1	9.1698	7.743	8.0242	8.8258	8.7347	8.8215	8.0876	9.289	9.3226	9.3362
LOC101927138	4.6593	4.9489	4.3884	6.5447	3.1363	5.2911	3.573	2.7299	2.2765	6.0607
LOC101927143	6.8611	5.8847	8.0179	7.8187	5.1415	6.9584	6.5331	4.7567	6.0924	4.3385
LOC101927150	6.9266	7.8152	7.5857	4.1873	5.8954	6.1017	5.7964	6.1524	6.6846	8.2313
LOC101927151	6.683	6.2245	7.8242	5.5133	6.0156	8.0398	5.4366	8.2369	6.9969	7.9535
LOC101927157	5.3016	6.1783	6.9737	7.8389	6.9789	7.2076	6.9541	6.4485	6.8908	7.3144
LOC101927157 /// NIPAL1	8.1204	7.0608	7.181	9.2006	6.6415	7.0145	8.1807	7.3825	7.0041	7.7216
LOC101927159	5.1414	5.4057	6.5032	6.7146	3.1793	7.0423	5.5533	2.2896	4.3523	5.7386
LOC101927164	7.0988	6.3284	6.2499	5.6345	6.1763	5.9832	5.7919	5.0678	6.1911	4.977
LOC101927166	8.948	8.5405	7.6284	9.0162	6.7402	6.7073	9.5285	9.1858	9.2741	9.8898
LOC101927181	5.5893	4.387	7.9573	6.7246	4.6646	4.1568	4.2889	5.7891	3.658	3.6706
LOC101927196	4.6129	5.836	6.7992	6.4058	3.5536	5.4373	4.1257	3.6855	1.9356	4.429
LOC101927204	8.6704	6.5412	8.5546	7.4094	7.3349	7.122	6.6959	7.9181	8.1412	8.1167
LOC101927206	5.9743	7.4323	7.3102	7.6694	6.3139	5.1616	6.1839	6.0343	4.0233	4.4916
LOC101927210	6.3042	6.1152	6.289	6.7756	4.9396	5.4105	5.6928	6.1871	4.707	7.6857
LOC101927211	4.5871	3.6827	7.5633	7.6574	3.6944	5.0431	4.2442	5.0475	2.6974	4.049
LOC101927228	4.458	5.4623	4.5566	4.4467	3.5248	5.3502	4.3697	3.0249	4.5509	5.0472
LOC101927237	3.7899	5.2456	6.3838	7.6977	4.209	4.7861	2.2945	3.7973	3.7815	4.958
LOC101927244	5.6877	4.636	6.2009	7.3347	3.4568	4.9044	3.7906	2.7165	4.7108	4.8865
LOC101927247	8.3464	7.7352	9.2065	9.3555	7.4926	7.079	8.4248	8.2768	7.4792	8.3651
LOC101927248	5.6855	2.6509	3.609	6.1619	4.276	5.202	2.3624	4.3918	3.0813	4.6767
LOC101927253	5.6256	6.278	8.0939	5.6965	5.6438	5.0417	4.4823	5.1164	5.1164	6.5776
LOC101927254	4.2493	5.0118	6.2391	6.1681	5.9985	5.5857	5.5255	3.2763	3.637	3.6721
LOC101927256	6.4821	4.053	7.9619	7.4069	6.1763	5.5083	4.4627	5.9989	4.2685	4.2934
LOC101927257	6.7988	5.718	7.3717	6.6803	4.5705	5.7093	5.9891	5.0669	5.524	6.201
LOC101927263	5.2114	4.5434	5.5232	7.4114	5.2742	4.984	2.1988	4.2425	3.6981	3.2303
LOC101927268 /// LOC102724851	5.5172	5.3801	5.4643	8.1438	5.3104	5.4471	4.2023	5.8301	3.2738	4.361
