GSM329408	GSM329409	GSM329410	GSM329411	GSM329414	GSM329417	GSM329419	GSM329421	GSM329425	GSM329427
ABCD1	9.7508	7.5228	9.1844	8.7809	7.9877	7.6586	8.3453	7.5712	8.0594	8.2737
ABCD1P2 /// ABCD1P2	4.6829	5.6299	4.7433	7.556	5.2878	4.8325	6.0584	3.5359	4.8673	5.0185
ABCD2	4.6829	4.6855	5.9682	7.4528	3.1363	5.3832	5.6395	4.724	4.633	6.7351
ABCD3	10.865	10.5276	9.9995	9.0265	10.5995	10.2435	10.9269	9.0257	8.8881	9.3351
ABCD4	10.7695	9.4915	9.2439	8.5603	10.3814	9.7943	9.0295	10.5955	10.4993	9.7991
ABCE1	11.8881	10.3332	11.5998	10.1711	11.694	11.6417	10.0263	10.5149	11.0559	11.144
ABCF1	11.6323	11.709	11.7091	11.3201	12.4142	11.5011	10.8915	9.815	10.6828	10.4575
ABCF2	10.4219	8.8601	10.3355	9.7812	10.6482	11.9165	8.0154	9.3226	9.319	9.6151
ABCF3	8.6632	8.3292	9.3265	9.8928	9.0047	8.6038	9.4231	7.6253	8.6119	8.3388
ABCG1	10.6807	8.0714	9.6142	8.9556	9.4675	7.8278	10.3584	8.1232	8.6968	7.5585
ABCG2	8.1542	6.929	6.3801	6.021	5.5752	6.6369	7.6578	6.6928	5.3545	6.3594
ABCG4	7.5879	5.6275	4.8688	5.5416	4.507	6.1351	7.2048	6.1751	5.015	7.2557
ABCG5	5.3826	3.3945	5.9488	6.3856	5.3046	5.0143	4.1026	5.38	2.9954	4.424
ABCG8	5.2486	4.9096	6.4754	5.8271	4.3739	5.8038	4.3356	3.1138	3.1972	6.1461
ABHD1	6.7996	6.623	7.0651	8.9438	6.6475	7.5909	7.2875	7.0811	5.8048	7.2998
ABHD10	9.9781	10.03	10.5043	9.2684	10.5905	10.1987	9.8034	8.8877	10.618	10.4627
ABHD11	9.7344	8.0174	9.0112	9.313	9.7113	9.2926	8.3206	8.4473	8.9467	8.6811
ABHD12	9.9193	9.1234	9.1365	10.0604	9.8093	8.7002	9.3868	9.0755	8.9899	9.2633
ABHD12B /// MIR4454	10.3462	11.1586	11.244	8.1089	6.9043	5.2978	6.5347	5.4667	4.5296	5.5136
ABHD13	8.6178	10.3627	8.7133	9.8567	8.7426	8.7777	11.388	9.6477	9.9034	9.6557
ABHD14A /// ACY1	9.4476	9.1454	8.9784	9.7137	10.1355	9.7502	9.1033	8.9421	9.3244	9.2799
ABHD14A-ACY1 /// ACY1	10.6698	9.9545	9.2718	9.1723	11.4031	10.3416	8.5071	8.553	8.9425	8.7863
